text,label
"With Trump pick aboard, top U.S. court tackles religious rights",1
GLOBAL ALERT: Border tensions rise between Israel and Palestinians after Gaza militants killed four soldiers.,0
Merkel meets Trump in clash of style and substance,1
Bernie Sanders Gets Brutally Honest On ‘Conan’ About Trump’s Tweets,0
U.S. State Department questions Gulf motives on Qatar boycott,1
Trump attacks 'fake news' following Kushner reports,1
#BlackLivesMatterTerrorists Shut Down Kids Visits With Santa At Mall…Attempt To Shut Down Major Airport In MN,0
Monmouth poll: 6-point Clinton lead over Trump day before U.S. election,1
"BREAKING: Serial robbery spree hits downtown area

Police are looking for a man seen leaving his home in downtown Portland.",0
Kurds block Iraqi forces' access to Kirkuk oil fields; Iran shuts border crossings,1
GOVERNMENT ANNOUNCEMENT: The Prime Minister has taken action to prevent the illegal use of child pornography on social media and has instructed the police to take further action against those who use it.,0
McCain warns Trump not to lift sanctions on Russia,1
APEC ministers end talks after wrangling over trade wording for U.S.,1
GREAT PHOTOS: Melania Trump Gets Rave Reviews For Stunning Style On Middle East Trip,0
OFFICIAL STATEMENT: Authorities declare the U.,0
"OFFICIAL STATEMENT: Authorities declare that in addition to all the other actions taken to ensure the safety of the public, there were no acts of terrorism or other forms of organized crime committed on or near the University of Chicago campus.",0
BRAINIAC PROTESTERS VANDALIZE…Attempt to Take Down ‘Peace’ Monument,0
"MARKET WATCH: Stocks fall after Brexit vote

""They have been under the influence of drugs since the days of Prohibition,"" he said.",0
U.S. House Democrats will introduce new version of Senate Russia bill,1
"Japan's new party vows to scrap over-reliance on fiscal, monetary steps",1
"HOLLYWOOD ACTRESS BRAGS About Her “Best Abortion”…”If I Could Yelp Review it, I Totally Would!”",0
McConnell says U.S. government shutdown over DACA 'ridiculous',1
Russia's Putin registers re-election bid,1
Hungary rejects 'dead end street' of ceding powers to EU,1
Trump's business empire poses unprecedented potential conflicts of interest,1
HEALTH ALERT: A new virus strain has been detected in human volunteers exposed to a new strain of the Zika virus.,0
Ninety percent of Raqqa retaken from Islamic State - U.S. military,1
Michigan’s Republican Governor Just Won A Major Leadership Award,0
